key	word	type	en	crum	crum-last-page	dawoud-pages	categories	notes	senses	sisters	antonyms	homonyms	greek-sisters	quality
1246	(S) oote,ote (A) ate (B) oT (F) wti (S) tote (B) toT *^error^*	noun female	womb /$gk: μητρα$/	257a		238b	anatomy							complete
1247	(S) oouS (B) wouS	noun male	gruel (of bread or lentils)	257a		531a	food							complete
1248	(S,A) ooH (S) oH (S,O) wH (B) ioH (F) aaH,aH	noun male	moon /$gk: σεληνη$/ | (in calendar)	257b		84a	astronomy							complete
1249	(S,A) oHe,ooHe,wHe (B) oHi,ioHi (F) aHi (L) eiaH-	noun male	yard (of house), fold (for cattle, sheep) /$gk: επαυλις, αυλη, μανδρα$/ | pasture | flock, herd /$gk: ποιμνη$/	258a		238a	construction			2798; 907; 1572; 1962 sheepfold; 1819 #drv2818; 742; 520; 2565; 274; 755; 2799		148		complete
1250	(B) oJi	noun female	iniquity /$gk: ανομια$/ | iniquitous person /$gk: αδικος$/	258b		238b	concept, person							complete
1251	(S,A,L,B,F,O) ***p- (S,L,F) ***pe- (S,A,B,F,O) ***pi- (B) ***f- (S,A,L,B,F,O) ****t-,te-,T-,q- (S,A,L,B,F,O) *n-,ne-,ni- (B,F) *nen-	-	(definite article)	258b		286a,488a,294a,289b,427a,55a,834a,445a,209a,201a,199a-199b				1553; 100; 68 #drv2517; 1254; 1258				complete
1252	(S,A,L,F,O) pa-,ta-,na- (B) fa-,qa-,na-	pronoun	(possessive pronoun, with suffixes [ne=] &c)	258b		488a,55a,190b,286a,427a				1253; 1040; 1555				complete
1253	(S,A,L,F,O) pa-,ta-,na- (B) fa-,qa-,na-	-	(possessive article), the ... belonging to, the (man) of	259a		488a,55a,190b,286a,427a				1252; 1040; 1555				complete
1254	(S) pai,tai,nai (B) fai,qai,nai (A,F) pei,tei,nei (A,L) neei$	pronoun	(demonstrative pronoun) |$ (absolute), this (cf [nh]) |$ (construct [pei-,tei-,nei-] SAF, [ne-] &c S, [neei-] &c L, [pai-,tai-,nai-] BO, [pi-,T-,ni-] SABFO)	259a		488a,286b,286a-286b,55a,428a,192a				1258; 1553; 1251				complete
1255	(S,A,L,B,F) -pe	-	(verbal enclitic following) |$ (imperfectum) |$ (plusquamperfectum) |$ (less often futurum) |$ (perfectum)	260a		289b-290a				1259; 1558				complete
1256	(S) pe-	-	(interrogative or conditional prefix expressing doubt), perhaps/*?*/	260a		290a								complete
1257	(S) pei,ph *^<a href=ext Life of Saints Eustathius and Theopiste;1062;16;18;auonkou e Hrai auTph e rwF;Life of Saints Eustathius and Theopiste;1062;20;4;aFHwlG de e roF auTph e neuerhu">Ext</a>^* (S,A,F) pi (A) piei (B) fi (F) pe"	noun female	kiss /$gk: φιλημα$/	260a		492b-493a								complete++
1258	(S,L,F) ph,th,nh (B) fh,qh,nh	pronoun	(demonstrative pronoun /*cf [pai]*/) /$gk: εκεινος, η, ο$/	260b		492a,58b,205b,293b				1254; 1553; 1251				complete
1259	(S,A,L,B,F,O) -pe,-te,-ne	-	(enclitic of [ph] &c, joins subj & predic in nominal clause)	260b		289b,445a,199a				1255; 1558				complete
1260	(S,F) phi (Sf) phhi (B) fei,fhi	noun	leap, (with vb), take a leap /$gk: αλλεσθαι$/ | leaper, flea /$gk: ξυλλος$/	260b		491a,492a	species			1815; 2065; 1124				complete
1261	(S) ***poi (B) ****foi	noun male/female	bench /$gk: προθυρον$/	260b		494b	tool			1643; 963				complete
1262	(S,A,F) pwlH (B) fwlH (S) polH= (B) folH= (S) polH+,porH+	verb	{tr:} wound /$gk: κεφαλιουν, τραυματιζειν$/ | {intr:} be wounded	261a		498a				2636; 320				complete++
1263	(S) pwlG,pwlk,pwlJ (B) fwlJ (Sa) palkh (S) parke (S) plG-,pelk- (B) folJ- (F) palJ- (S) polG=,polk=,polJ=,palG= (Sf,F) palJ= (B) folJ=	verb	(confused with [pwrJ]) | {intr:} be agreed, reach satisfaction, decide | {tr:} (S,B,F), deliver, decide, settle (an affair) /$gk: απαλλασεσθαι, εξαιρεισθαι, διαλυεσθαι$/	261b		498a-498b,498b,498b,498b-499a				1208; 913				complete++
1264	(S) plGe,pelGe,prGe,pelJe (B) felJi	noun male	(f once), split, torn cloth, rag /$gk: ρακιον$/ | (as adj S,B), worn, old /$gk: παλαιος$/	262b		491a	clothes			79 #drv3360; 1380; 1646; 1567; 2292				complete
1265	(S,A) pin (B) fin	noun male	mouse /$gk: μυς$/	263a		493a	species			630; 2748				complete
1266	(S) pompem	verb	{intr:} swell	263a		295b				2656; 1219; 2028				complete
1267	(B) pouni	noun female	anus	263b		297a	anatomy							complete
1268	(S) pawne,pawni,paouni,pahne,poone (B,F) pawni	noun	(name of 10th month) /$gk: Παυνι$/	263b		287b	time							complete
1269	(S) pwnk,pwng,pwnG (B) fwnk (S) png-,penk-,pong-,*^also^* pwng- (B) fenk- (F) pank- (S) ponk= (B) fonk+	verb	{intr:} |$ draw, bail, empty out (water &c) |$ (S), transfer, carry over |$ (B), hollow, cut out | {tr:} |$ (S,B), draw, bail (water &c) /$gk: εξαντλειν$/ |$ (S,B,F), transfer, carry	265b		499b				156; 1881; 485; 2406	1959			complete++
1270	(S) pnnh,pnh (B) bennh	noun female	doorpost, threshold, step /$gk: σταθμος, φλια, προθυρον, βαθμος$/	266a		21a	construction, tool			1666; 1772 #drv2740; 1325; 838; 1141; 558 door screen				complete
1271	(S) paope,poope,paape,paapi (B) pawpi,paop,paophi (F) paapi	noun	(name of 2d month) /$gk: Φαωφι$/	266b		287b,286b	time							complete
1272	(S) papoi,papai	noun male	bird, chicken /*?*/ /$gk: ορνις, ορνιτιον$/	266b		287a	species			2758; 2566; 2811; 2401				complete
1273	(S) pwwpe (F) papi (S,A) pape- (S,Sf) pap- (B) fape- (Sf,F) papw- (S) papw=	verb	{intr:} knead/*clay*/, make bricks /$gk: πλινθευειν$/ | {tr:} (with [twbe]) | (as nn) /$gk: πλινθεια$/	266b		489a,286b-287a,304a								complete
1274	per-	-	house (in [perepeitn, periperoi] & in place names)	267a		291b								complete
1275	(S) phre,phra (B,F) phri	noun male	quail	267a		293b	species							complete
1276	(S) pwwre (A) poure (B) fwr (S) pere- (B) fer- (S) poor=	verb	{tr:} dream /$gk: ενυπνιζεσθαι$/ |$ (+ [rasou]) |$ (without [rasou]) | (as nn B)	268a		500b-501a								complete
1277	(S) pork (B) fwrk,fork (F) parek	noun male	(outer mantle of clerics, monks), pallium | boat's sail	268a		501b	clothes			1008; 2363		200		complete
1278	(S) pork,porek (Sf,A,F) park (B) fork	noun male	(B once) | foal, calf | (with [mas-] SAB, [mes-] S) mule /$gk: ημιονος, ρεδη$/	268a		495b	species			1548; 26 #drv895; 607; 682; 2742; 880; 712; 2303; 693				complete
1279	(B) permou,peremou	noun	lunatic	269a		291b-292a	person							complete
1280	(S) primmenou	noun	(plant) artemisia	269a		298b	species							complete
1281	(S) parmoute,farmoute,parmouT (F) parmouti (B) farmouqi	noun	(name of 8th month) /$gk: Φαρμουθι$/	269a		488b	time							complete
1282	(S) parmHotp,paremHotp,paremHatp,paremHot,parhmHot,parhmHat,pamnHatp,famenatp (F) parmaHa,parmaHat (B) famenwq	noun	(name of 7th month) /$gk: Φαμενωθ$/	269a		488b	time							complete
1283	(S) periperoi	noun male	royal palace /$gk: τα βασιλεια$/	269b		291b	construction							complete
1284	(S) $^pwrs^$,prs-,pors+	verb	{intr:} stretch, strain /*?*/ | {tr:} look boldly (literally ?) stiffen (eyes)	269b		300b								complete
1285	(A) $^pwrs^$,pars-	verb	{tr:} slaughter /$gk: κατασφαγειν$/	269b						122; 3377; 2179; 819; 2305				complete
1286	(S) $^prosres^$,presrast+	verb	{intr:} become stiff (of hair)	269b		298a								complete
1287	(S,A) phrS (B) fhrS	noun male	red-coloured substance /$gk: μιλτος$/ | rust, red blight /$gk: ερυσιβη$/	269b		492b	substance, colors			2072; 2763; 2415; 810				complete
1288	(S) SoeiS (Sa) SaeiS (S,O) SoiS (A) QaeiQ (B) SwiS (F) SaiS	noun male	dust /$gk: κονιορτος, χους, ατμις$/	605a		599a	earth			455; 1337; 2777; 847; 172; 2213; 212		363		complete
1290	(S,A) pise (S) pis (B) fisi (F,O) pisi (S) pss-,pest- (S,A) pis- (B) fes-,fas- (S,F) past= (S) pist= (S,A) pest= (B) fas= (S) pose+,phs+ (A) pase+ (B) fosi+ (S) ^pas- (B) ^fas-	verb	{intr:} be cooked, melted /$gk: εξειν, πυρουν$/ | {tr:} boil, bake, melt	273a		494a-494b,494b				719; 835; 129; 1018; 2644; 485				complete
1291	(S,A) cis (S,B) cit (S,L) cite (S) cise	numeral	nine	273b		521b	number			68; 119; 132; 2064; 1664; 1508; 65; 916; 1112; 2473; 1045; 957; 1848; 164; 165				complete
1292	paith,phite,peide	-	eggplant, solanum	276a		286b	species							complete
1293	(S,A) pite (B) fiT	noun female	bow /*arcus*/ /$gk: τοξον$/	276a		494b	tool							complete
1294	(B) *petephp,petepht	noun	hoopoe	276a		292b	species			848; 774				complete
1295	(S) potpt (A) patpt (B) fotfet,fetfwt=,fetfwt+	verb	{intr:} fall away /$gk: τηκειν$/ | {tr:} make fall, drop, cut down	276a		496a				2058				complete++
1296	(S,F) pwts (S) pots+ (F) pats+	verb	{tr:} divide, split, crack /$gk: διχηλειν, θλαν$/	276a		302a				269; 146; 3160				complete
1297	(S) pwtH (B) fwtH (B) fotH- (S) potH= (B) fotH= (S) poHt+ (B) fotH+,*^rarely^* foHt+	verb	{tr:} carve, engrave, depict (by carving or painting) /$gk: γλυφειν, λατομειν, λαξευειν$/	276b		504b-505a				887; 485; 156				complete
1298	(A) paure	verb	{intr:} increase, grow (of animal, plant)	277a										complete
1299	(S) paS (B) faS	noun male	trap, snare /$gk: παγις$/	277a		489a	tool			425; 2352				complete
1300	(S) paiSe,paSe,peSe,piSe (Sa) piHe (B) faiSi	noun male/female	(disease producing pustules, swelling)	278b		488a,286b,292b,294b	biology							complete
1301	(S) paSons,paSwns,paSans,paxons,paxans,paHanss,paHons,anSoos (B) paSons (F) paSans,paSas	noun	(name of 9th month) /$gk: Παχων$/	279a		288a	time							complete
1302	(S,L,F) pwH (A) pwQ (B) fwK (S,F) peH- (S) paH- (B) faK-,feK- (S,L) paH= (S) poH= (B) faK= (S,F) phH+ (S) peH+ (B) fhK+	verb	{intr:} break, burst, tear /$gk: ρηγνυναι, σχιζειν$/ | {tr:} (S,A,L,B,F, meanings same)	280a		505b-506a				898; 2524; 1312; 895; 1406				complete++
1303	(B) $^fwKer^$ (O) peHer- (B) faKer+	verb	{intr & tr:} charm, bewitch	282b		489b,506a				386 #drv1490				complete
1304	(S,A) pwHs (A) pwsH (S) peHs- (A) paHs= (S) poHs+ (F) peHs+	verb	{intr:} bite | {tr:} |$ /$gk: δακνειν, πλησσειν$/ |$ stumble, go wrong /$gk: σφαλλειν$/ | (as nn), bite /$gk: δηγμα$/	283a		305b				2386; 720; 954; 996; 76; 273; 711; 912				complete
1305	(O) paHte	noun	strength, valiance	284b			concept							complete
1306	(S,A,L,O) paHou (B) faHou (F) peHou,paHau	noun male	(originally dual) | buttocks, (so) hinder part, back /$gk: τα οπισω$/ | (As adj), hinder, past	284b		490b	direction, anatomy			1080	70; 227			complete+
1307	(S) poJ	verb	{qual:} amorous /*?*/	285a		297b								complete
1308	(S) pwJG,pwJk,pwJt,poJt+ (S) ^paJG-,paJk-	verb	{tr:} beat flat, broad /$gk: ελαυνειν$/	285b		306b								complete
1309	(A) paiGe	noun female	mouth	285b			anatomy			201; 126; 301 palate				complete
1310	(S) piGa,piGh,piGi (F) piGe,piGeei,piJei	noun	vanity /$gk: ματαιος, ματαιοτης$/	285b		294b	concept							complete
1311	(S) poGe	noun	(probably) battlefield	285b										complete
1312	(S) pwGe (A) pououJe (B) fwJi (S) poG=,pok=,pog=,poge+ (B) foJi+ (F) phG+	verb	{intr:} break, burst /$gk: ρηγνυναι, σχιζειν, διασπαν, πιμπραναι$/	285b		506b,497b,306b,306b,297b-298a				898; 1302; 2524; 895; 1406; 2477; 311				complete
1313	(S) -re	-	(interrog enclitic)	287b										complete
1314	(S,B,O) rh (F,O) re (A) rei,ri	noun male	sun /$gk: ηλιος$/ | (sun's) |$ light |$ shine |$ rise |$ set | sun tree	287b		318a	astronomy			2079				complete
1315	(S,B) rhi	noun male	(a fish), alestes dentex	287b		318a	species							complete
1316	(S,B) ri (S) rei (F) li	noun female	(not biblical), cell, room /$gk: κελλα, κελλιον$/ |$ (monk's, hermit's) |$ (room in house) |$ (prison cell)	287b		320b	construction			355				complete
1317	(S,B) ro (F) ra	noun male	strand, ply (of cord)	290a		323b				1902; 2752; 2861		201; 379		complete
1318	(S) ro	noun male	goose	290a		323b	species			1423; 1806; 2646				complete
1319	(B) ribh,ribi	noun female	rope with belt (for hauling ship's cable)	291b		320b	tool			1220; 2752; 2861; 1872; 945; 1076; 1139; 1904; 2049; 2282				complete
1320	(S) rbt,erbt,rFt	noun	(epithet of [Sthn])	291b		316a								complete
1321	(S,A,L) rike (B) riki (F) liki (S) rekt-,rakt- (S,B) rek- (A) rik-$$ (B) rak- (F) lekt- (S,A) rekt= (B) rakt=,rak= (F) lekt= (S) roke+ (S,A) rake+ (S) rakte+ (B) raki+	verb	{intr:} bend, turn /$gk: κλινειν, ανανευειν, εκτρεπεσθαι$/ | {tr:}  /$gk: εκτρεπεσθαι, εκκλινειν, επικλινειν$/	291b		320b-322a								complete++
1322	(B) $^rokrek^$,rekrwk+	verb	{intr:} become, be putrid (or) scorched /*?*/	293a		323b,316b				919; 820				complete
1323	(S,A) rkrike (S) Hrkrike,rekrike *^<a href=ext Life of Apa Cyrus;1063;7;22;mpe FJi rekrike Sante FGn ouma m pJs;Nag Hammadi Library, codex VII - The Teachings of Silvanus;136;113;35;mprT nnourekrike nnekbaHou">Ext</a>^*,Hrekrike *^<a href="ext Instructions of Apa Pachomius;1055;3;28;mpr T Hinhb n nekbal Hrekrike n nekbouwHe">Ext</a>^* (B,F) rekriki (F) lekliki"	noun female	bending, nodding (of head in sleep) /$gk: νυσταγμος$/	293a		316b	biology							complete
1324	(S) rame,ramh,raame (B) rami	noun male/female	(a fish) tilapia /$gk: κοριαξος$/	294a		310b	species							complete
1325	(S) ramwne,ramoune,*^or ?^* ramwn,ramoun	noun male	(part of door, post ?)	296a		310b	construction, tool			1666; 1270; 1772 #drv2740; 838; 1141				complete
1326	(S) rmont,rmoot	noun female	shivering, ague	296b		323a	biology							complete
1327	(S) *rampei,rampi,rappi	noun	ring /$gk: δακτυλιος$/	296b		310b	shapes, tool			2152; 870; 1007; 2684			C9559	complete
1328	(S) rompe (S,A,L,O) rampe (B) rompi (F) lampi,rampi (S,A) rwpe- (S) rmp- *^in [rmpSire]^* (S) *rmpooue (A) *rmpeoue (O) *rmpe	noun female	(/*art S often [te-]*/), year /$gk: ετος, ενιαυτος$/	296b		324a-324b	time			2689; 1449; 1451				complete
1329	(B) romsin	noun male	(a plant)	297a		324b	species							complete
1330	(S,L) rmHe (B) remHe (F) remHh,lemHh (S) rmnHe (S,B) ****rmnHh (S) *rmHeeue (B) *rmHeu,rmHhou	noun male	free person /$gk: ελευθερος$/	297a		317a-317b	person				568; 905; 367; 2642			complete
1331	(S) rmHneH	noun male	pole, shaft (of cart) /$gk: ρυμος$/	297b		323a	tool			2096; 34 #drv2717; 1105 #drv880; 891 pole				complete
1332	(B) rwn	noun	rampart /$gk: χαρακοβολια$/	298b		330a	construction			452; 947				complete
1333	(S) rhne	noun male	youth /*?*/, prime /*?*/ /$gk: αφηλιξ$/	298b						171; 966; 1965 #drv3075				complete
1334	(S) raar	noun female	(a basket or vessel /*?*/)	299a		308b	container							complete
1335	(S,A,B) rir (S) rhl (S,F) lil (S) rr-	noun male	swine, pig /$gk: υς, χοιρος$/	299a		322b-323a	species			680				complete
1336	(S,A,B,F,O) rhs	noun male	south, (places in the south) /$gk: νοτος$/ | (as adj)	299b		318b-319a	direction			2795; 659	2289			complete++
1337	(A) rhse (B) rhisi,rhisen	noun male	dust /$gk: χους, χνους$/	301b		318a	earth			1288; 455; 2777; 847; 172; 2213; 212				complete
1338	(S) raste (Sa) rhste (Sa,A,L) reste (Sf,B) rasT (F) lesT	noun male	morrow |$ (no art) /$gk: αυριον, επιουσιος$/ |$ (with art) /$gk: επαυριον$/ |$ (with poss)	302a		312b-313a	time			1527				complete
1339	(S) raite (L) reite (A,L) reeite	noun female	kindred /$gk: γενεσις, συνγενεια$/	304b		309a	biology			32				complete
1340	(S,A,L) rhte (B) rhT (O) rete	noun male	manner, fashion, likeness /$gk: ειδεα$/	304b		319b-320b	concept			225; 2247; 216; 491; 1029; 1069			C10799	complete
1341	(B) rita	noun	(a plant)	305b		323a	species							complete
1342	(S) rtw (S,B) ertw	noun female	span (literally great hand) /$gk: σπιθαμη$/	305b		42a	unit							complete
1343	(S) $^rwtb^$ (B) rwteb (F) lwteb (S) rotb= (B) roqb= (F) latb= (B) roteb+ (F) lateb+	verb	{intr:} recline /$gk: κλινεσθαι, ανακεισθαι, αναπιπτειν$/ | {tr:} (B,F), make to recline	305b		332b								complete
1344	(S) rtob, ertob, rtoF, ertoF,rtab,ertab,artob,artab (B) ertob,ertop,ertwb (F) ertab,eltab,eltaF	noun male	(measure of grain &c) /$gk: αρταβη$/	305b		42a	unit							complete
1345	(S) rauh,raue,rauei,rhue (B) raouh,rabh (Sf) lauei (F) lauh,laouh	noun female	quarter (of town), neighbourhood /$gk: αμφοδος$/	306a		311b-312a	construction							complete
1346	(B) raouw,raouhout+,rabhout+	verb	{intr:} happen, fall, be subject, be caught /$gk: ενοχος, αλισκεσθαι, βουλεσθαι$/ | (as nn m), presence, event	306a		312a-312b								complete++
1347	(S) rooue,arooue,roeioue (Sa) rhioue (A) reioue,areioue (B) rwoui,arwoui (F) laoui	noun male	stubble /$gk: καλαμη$/	306b		330a	anatomy			1678				complete
1348	(S) rooune (Sa) raune (A) raoune (F) launi	noun male	virgin, virginity /$gk: παρθενος$/	306b		324b	biology							complete
1349	(S) roouS (A) rauS (Sf,L,F) raouS (B) rwouS (F) laouS	verb	{intr:} have care for, be intent on /$gk: μελλειν$/	306b		330b-332a,332a				116; 155; 2239; 19 #drv3640; 71 #drv3323; 93 #drv313				complete++
1350	(S) raoute	noun	(among bronze utensils)	306b		312a	tool, container, doubtful							complete
1351	(S) raxne	noun female	(a garment) /$gk: ραχνη$/	308a		314b	clothes			2534; 193; 2293; 1107; 1164; 2428; 2659; 1360; 79 #drv3360; 3358 #drv3975				complete
1352	(S) raS (A) re$^e^$QF (B) rauS (F) lhS	noun	(only with [rm-, rem, lem-]), mild, gentle person /$gk: πραυς, ησυχος$/	308a		317a,314b	person							complete
1353	(B) rwS,raS=	verb	{intr:} measure /$gk: εκμετρειν$/	308a		332b				130		441		complete
1354	(S) raSe (A,L) reSe (B) raSi (F) leSi	verb	{intr:} rejoice /$gk: χαιρειν, ιλαρυνειν, ευφραινειν$/ | {tr:} (S,A,B), rejoice at, deride	308b		314b-315b				245; 480	1227; 2121; 1654	441		complete
1355	(S,L) rSwn (S,Sf,B,F) erSwn	noun male	cloak, covering /$gk: περιβολη, ιματιον, θεριστρον, καλυμμα$/	310a		42b	clothes			2586				complete
1356	(A) rQe	verb	{intr:} be willing	310a										complete
1357	(S) rwHe (A) rwQe (B) rwKi (B) raK= (S) raHe+ (B) raKi+	verb	{intr:} become, be clean /$gk: πλυνειν$/ | {tr:} cleanse, wash /$gk: ραντιζειν$/ | (as nn), cleansing	310b		333b				692; 2381; 1920; 1358; 1362; 1703		725		complete
1358	(Sf) $^raHreH^$,reHrwH=	verb	{tr:} wash /*?*/	311a						692; 1357; 2381; 1920; 1362				complete
1359	(S) raHte,roHte,loHte,rwHte,raHt (F) laHT,reHte	noun female	cauldron /$gk: λεβης$/	312a		316a	container			2410; 952				complete
1360	(S) raHtou	noun	(a monkish garment)	312b		316a	clothes			2534; 193; 2293; 1351; 1107; 1164; 2428; 2659; 79 #drv3360; 3358 #drv3975				complete
1361	(B) rwJp,reJp- *^2 pl^*,roJp=,roJp+	verb	{intr:} be thrown down, sink down /$gk: ριπτεσθαι, κεισθαι$/ | {tr:} throw down /$gk: ωθειν$/	312b		334b				85; 91; 2319; 2127; 179; 725; 2058				complete
1362	(S) roJreJ (L) reGreG	verb	wash /*?*/, polish /*?*/	312b		325b				692; 1357; 2381; 1920; 1358; 1363				complete
1363	(S) raGreG	verb	{intr:} hiss /*?*/ (of bones or flesh in fire)	312b		316a				1882; 2012; 1362				complete
1364	(S,A,L,B) sa (Sa,F) se	noun male	side, part /$gk: μερος, κλιμα$/	313a		335b-336b,223b-224a,341b-342a,144b	direction			302				complete
1365	(S,A,B,F) sa	noun male	man (+  genitive [n-]), man of, maker of, dealer in	316a		335a-335b	person			2183				complete
1366	(S,A,L,B,O) se- (Sf,F) sh	particle	(particle) yea |$ (answers question) |$ (answers μη) |$ (contradictory/*?*/) |$ (after condit [eSJe,isJe]) |$ verily, indeed	316a		352b-353a				683	1063			complete
1367	se,si,se-,si-	noun female	seat, place	316b		355a,356b,361a,369b								complete
1368	(S,B) soi (S,F) sai	noun male	back (of man or beast) /$gk: ραχις, οπισθιος$/	317b		382a	anatomy			2457; 2360		1369; 3051; 1371		complete
1369	(S,B) soi (A) sa (Sf) sai (F) saei (NH) soei *^<a href=ext codex II - The Gospel of Thomas;107;38;13;psoei de etHm pekbal;codex II - The Gospel of Thomas;107;38;14;Hotan ekSannouJe mpsoei ebol Hm pekbal">Ext</a>^*"	noun male/female	beam (of wood) /$gk: δοκος, στελεχος$/	317b		382a	tool, construction			2096; 1028; 1746; 2462		3051; 1368; 1371		complete
1370	(S) sw	noun	soaked reed, mat of reeds	318a		401b	tool			1592; 1597; 805				complete
1371	(B) swi	verb	{intr:} become hairless /*?*/	318b		403a				2844; 2872		1368; 1369; 3051		complete
1372	(A) *sb *^in [sb psete]^*	noun	burnt offerings	318b										complete
1373	(S) sib (B) sip	noun male	tick, (insect) /$gk: φτειρα, ερεσιβη, κονδιλα$/	318b		369a	species							complete
1374	(S) shbe,shFe (B) shbi,sebi (F) shFi (S) sb-	noun female	reed /$gk: καλαμος$/ | greave /$gk: κνημις$/ | shin-bone | kohl bottle	320b		363a,353b	anatomy			891; 805; 716; 548; 1238; 1454				complete
1375	(S) swbe,swpe (B) swpi	noun female	edge, fringe (of garment &c)	321b		414a-414b	clothes			1997; 1660; 1614; 1007				complete
1376	(S,B) sbe (F) sbh	noun male	door /$gk: θυρα, προθυρον$/	321b		350b-351a	construction			201; 2021				complete
1377	(S,A) sbbe (B) sebi (F) shbbi (S,A) sbbe- (B) soube- (F) subbh- (S) sbbht= (B) soubh= (F) sebht= (S) sbbhu+,sbbhut+ (B) soubht+,souht+ (F) sebhut+	verb	{tr:} circumcise /$gk: ποριτεμνειν, ευνουχιζειν$/ | (as nn m S,B,F) /$gk: περιτομη$/	321b		353b								complete
1378	(S,B) sbok (A,F) sbak (S,B) sobk+ (Sf,A,L,F) sabk+	verb	{intr:} became, be small, few /$gk: ολιγος, ολιγουσθαι, μικρος, ελαττουν$/ | {tr:} make less	322a		351a-351b				1675; 226; 1651; 1073; 2617	92; 278			complete
1379	(S) sblte,slbte,slFte	verb	{intr:} roll over, about /$gk: αποσκαριζειν, συγκαμπτειν$/	322b		351a								complete
1380	(B) seben	noun	bandage, selvage /$gk: κειρια$/	322b		353a	clothes			1646; 1567; 1264				complete
1381	(S) *seboon	noun	support, prop	322b			construction							complete
1382	(S) sobn	verb	{intr:} make breeze, make cool (or sim, with fan)	322b		380a								complete
1383	(S,A,F) sibt	noun female	hill, (often paral [toou]) /$gk: βουνος, πετρα$/	322b		367a	earth			183; 2842; 1583; 2230; 1921; 2496 #drv3947				complete
1384	(S) sbSe,sSbe,SbSe (B) SebSi	noun female	shield /$gk: θυρεος$/	324a		560b	tool			2399; 2782; 2151; 608				complete
1385	(S) swbH,sobH-,sobH=,sobH+ (Sa,Sf,A) sabH+	verb	{intr:} become, be leprous /$gk: λεπρουσθαι$/ | {tr:} (S), make leprous	324a		402b-403a								complete
1386	(S,B) sok,swk (S) sak,sook,swwk	noun male	sack, sackcloth, bag /$gk: σακκος, μαρσιππος$/	325a		382a	container			935; 2291; 1988; 1646				complete
1387	(A) sok	verb	{intr:} be content, satisfied /$gk: ευδοκειν$/	325a										complete
1388	(S) skai (A,L,F) skei (B) sxai (NH) skaei *^<a href=ext codex II - The Gospel of Thomas;107;51;2;aFei eFskaei aFHe apeHo;codex II - The Gospel of Philip;108;60;19;prwme skaei ntswSe Hitn nqhrion;codex II - The Gospel of Philip;108;60;25;eFskaei">Ext</a>^* (S) sek-,sok= (B) sxht="	verb	{intr:} plough /$gk: αροτριαν$/	328b		400b				401; 715; 889				complete++
1389	(S,Sf,A,F) skim (S) sGim (B) sxim	noun male	discoloured, grey hair	328b		401a	anatomy			985; 2377				complete
1390	(B) sokmaJi	noun male	long table	329a		382b	tool							complete
1391	(B) sken *^? [ske n-]^*,skent=	noun	side /*?*/, (with [e-, esken], preposition) beside	329a		371a-371b	direction			1029				complete++
1392	(S) skap	noun	stale /*?*/ (of bread)	329a		371a	food							complete
1393	(S) skorkr (A) skarkre (B) skerker (F) skalkl, *^also^* sleGleG,skarkr (S) skrkr- (F) skelkwl- (S) skrkwr= (B) skerkwr= (S,B) skerkwr+ (S) skerkort+ (L) skrkr+$$	verb	{intr:} roll, be rolled /$gk: κυλιειν, αποσκελιζειν$/ | {tr:}	329a		371b-372b						1394		complete++
1394	(B) skorker	noun male	beer	330a		372b	food			2221; 180		1393		complete
1395	(B) seksik	noun	sunny place, room	330a		355a	construction							complete
1396	(S,B) soksek (S,B) seksek- (S) seksok=	verb	{tr:} pull, gather | (as noun m B), yawn (stretching mouth)	330a		382b,382b				49; 1430; 713; 1671; 361; 2520				complete
1397	(B) sekeH	verb	{tr:} clear out (a house)	330a		355a								complete
1398	(S,B) sol (A,F) sal	noun male	wick /$gk: λινον$/	330a		382b	tool							complete
1399	(S,B) swl (B) sol= (S) shl+	verb	{tr:} dissipate, pervert /$gk: υφαιρεισθαι$/	330a		407a-407b								complete++
1400	(B) slh	noun female	coffin /$gk: σορος$/	330a		373a-373b	container			1565 coffin				complete
1401	(S) salo,salw,saro	noun female	basket	330b		340a	container			585; 2421; 2621; 2730; 406 #drv209; 2427				complete
1402	(B) souli,soli	noun female	veil, covering | saddle-cloth	330b		392b,382b	clothes			960; 1971; 2232				complete
1403	(B) swlk (S) swlG (B) swlk=	verb	{intr:} cleave, adhere /$gk: κολλασθαι$/ | {tr:} make cleave, join	330b		407b				1022; 1023; 385; 358; 1595; 337				complete
1404	(B) *salouki	noun	(fish) petrocephalus	330b		340b	species					1464; 3059		complete
1405	(S) selilen,selilin	noun	vulture	330b		355a	species			1215; 1196; 547				complete
1406	(S,B) sloplep (Sf) slaplep (S) sleplwp= (B) sleplwp+	verb	{tr:} tear asunder | (c [ebol], meaning same)	331b		373b				898; 1302; 1312				complete
1407	(S) selepin	noun male	spleen (or organs around it)	331b		355a	anatomy							complete
1408	(S) selepin,salapin (B) seloupin	noun	little finger, toe	331b		355a	anatomy			299; 723; 2676				complete
1409	(S) $^solsl^$ (B) solsel (S) slsl- (B) selswl=,selswl+	verb	{tr:} adorn /$gk: κοσμειν, καλλωτιζειν$/ | {qual:} adorned	331b		382b-383a						1410		complete++
1410	(S) solsl (A) salsle (L) salsl (B) solsel (F) salsel (S) slsl-,selswl- (A) slsle- (B) selsel- (S,L) slswl= (A) slsol= (B,F) selswl= (S) slswl+,slsolt+	verb	{intr:} be comforted, encouraged /$gk: παρακαλειν, παραμυθεσθαι$/ | {tr:} comfort /$gk: παρακαλειν$/	332a		383a-384a						1409		complete++
